id,title,type,description,label,priority,parent
234,Call LLM for alternate styling,task,"Execute LLM completion to generate A/B variant HTML with different visual treatment",json-conversion,1,231
235,Create Google Doc with alternate HTML,task,"Create new Google Doc and insert the alternative HTML content",json-conversion,1,231
236,Notify user of alternate HTML in Slack,task,"Send notification to channel with link to the alternate HTML Google Doc",json-conversion,1,231
237,Email Subject & Preview Generator,epic,"Port the Email-Subject-and-Preview subworkflow with option generation, selection, and feedback",json-conversion,1,
238,Create email subject feedback table,task,"Ensure newsletter_email_subject_feedback table exists before processing",json-conversion,1,237
239,Fetch email subject learning data,task,"Query last 40 entries from newsletter_email_subject_feedback ordered by created_at DESC",json-conversion,1,237
240,Fetch newsletter document for subjects,task,"Retrieve content from Google Docs for subject line generation context",json-conversion,1,237
241,Call LLM for subject line generation,task,"Execute LLM completion to generate 3-5 email subject line options with corresponding preview text",json-conversion,1,237
242,Parse subject options into selectable format,task,"Extract individual subject/preview pairs from LLM output into structured selectable options",json-conversion,1,237
243,Share subject options in Slack,task,"Display all subject line options with preview text in channel for review",json-conversion,1,237
244,Send subject selection form,task,"Send sendAndWait form with radio buttons for each subject line option",json-conversion,1,237
245,Capture user subject selection,task,"Extract user's preferred subject line and preview text from form response",json-conversion,1,237
246,Implement email subject feedback loop,task,"Collect feedback, regenerate subject options via LLM, extract and store learning data in feedback table",json-conversion,1,237
247,Create Google Doc with final subject,task,"Create Google Doc containing the selected subject line and preview text",json-conversion,1,237
248,Social Media Generator,epic,"Port the Social-Media-Generator subworkflow with 2-phase generation and selection flow",json-conversion,1,
249,Fetch HTML document for social media,task,"Retrieve HTML document content from Google Doc for social media content context",json-conversion,1,248
250,Call LLM Phase 1 - generate 12 posts,task,"Execute LLM to generate 12 social media posts: 6 Did You Know (DYK) + 6 Industry Take (IT) in graphics-only format",json-conversion,1,248
251,Format social posts for Slack display,task,"Structure the 12 post options for display in Slack with clear DYK/IT categorization",json-conversion,1,248
252,Share social post options in Slack,task,"Send all 12 post options to channel for user review and selection",json-conversion,1,248
253,Capture user post selection,task,"Receive user's selection of which posts to develop further via Slack interaction",json-conversion,1,248
254,Call LLM Phase 2 - generate captions,task,"Execute LLM to generate detailed captions (150-300 chars each) for user-selected posts",json-conversion,1,248
255,Share captions in Slack for review,task,"Display generated captions in channel for user approval",json-conversion,1,248
256,Implement social media feedback loop,task,"Collect feedback, regenerate via LLM_SOCIAL_MEDIA_REGENERATION_MODEL, re-share for approval",json-conversion,1,248
257,Create Google Doc with final social posts,task,"Create Google Doc containing all finalized social media posts with graphics and captions",json-conversion,1,248
258,LinkedIn Carousel Generator,epic,"Port the Linkedin-Carousel-Generator subworkflow with slide generation, validation, and post copy versions",json-conversion,1,
259,Fetch HTML document for LinkedIn,task,"Retrieve HTML document content from Google Doc for carousel content context",json-conversion,1,258
260,Send Slack notification for LinkedIn step,task,"Notify user in channel that LinkedIn carousel generation is starting",json-conversion,1,258
261,Call LLM for carousel slide generation,task,"Execute LLM completion with LinkedIn carousel prompt to generate all slide content",json-conversion,1,258
262,Parse carousel output into slides,task,"Extract individual slide data from LLM response into structured slide objects",json-conversion,1,258
263,LinkedIn Slide Character Validation,feature,"Port the JavaScript character validation for carousel slide bodies and paragraphs",json-conversion,1,258
264,Validate slide body total length,task,"Check each slide body is 265-315 characters total, producing error if outside range",json-conversion,1,263
265,Validate slide paragraph 1 length,task,"Check each slide's first paragraph is 120-150 characters",json-conversion,1,263
266,Validate slide paragraph 2 length,task,"Check each slide's second paragraph is 130-150 characters",json-conversion,1,263
267,Validate TL;DR bullets,task,"Check 8 TL;DR bullets exist and each is approximately 50 characters",json-conversion,1,263
268,Produce slide validation error array,task,"Format character limit violations with type CHARACTER_LIMIT_VIOLATION and rewrite instructions",json-conversion,1,263
269,Regenerate slides with error details,task,"If validation errors exist, call LLM with error context using LLM_LINKEDIN_REGENERATION_MODEL for targeted fixes",json-conversion,1,258
270,Generate 3 LinkedIn post copy versions,task,"Create 3 post copy variants with opening hook, theme connection, links, newsletter CTA, and brand CTA",json-conversion,1,258
271,Enforce article order preservation,task,"Verify slides follow required order: Featured then Main 1 then Main 2 then Quick Hits 1-3 then Industry Developments 1-2",json-conversion,1,258
272,Create Google Doc with carousel content,task,"Create Google Doc containing all carousel slides and post copy versions",json-conversion,1,258
273,Share carousel in Slack for approval,task,"Send carousel content to channel with sendAndWait for user approval",json-conversion,1,258
274,Parallel Execution Integration,feature,"Wire all 4 output generators for concurrent execution after HTML step completes",json-conversion,1,258
275,Wire asyncio.gather for parallel outputs,task,"Launch alternates HTML, email subject, social media, and LinkedIn carousel concurrently via asyncio.gather",json-conversion,1,274
276,Pass shared context to all parallel steps,task,"Provide HTML doc ID, formatted_theme, and summaries to all 4 parallel generators",json-conversion,1,274
277,Handle independent errors per branch,task,"Ensure failure in one parallel branch does not block others from completing",json-conversion,1,274
278,Pipeline Orchestration & Scheduling,epic,"Wire all pipeline steps together, implement scheduling, and create API/CLI interfaces",infra,1,
279,Wire sequential pipeline steps,task,"Connect article curation, summarization, theme generation, markdown, and HTML steps in the orchestrator",json-conversion,1,278
280,Wire parallel output steps,task,"After HTML step, launch all 4 parallel generators and await their completion",json-conversion,1,278
281,Implement pipeline context propagation,task,"Pass accumulated PipelineContext with articles, summaries, formatted_theme, and document IDs between all steps",json-conversion,1,278
282,Implement pipeline run tracking,task,"Track each pipeline run with execution ID, start time, current step, and completion status",infra,1,278
283,Configure article collection scheduler,task,"Set up APScheduler jobs: daily for google_news keywords, every 2 days for default engine keywords",infra,1,278
284,Configure pipeline trigger scheduler,task,"Set up APScheduler job for automatic pipeline trigger every 5 days",infra,1,278
285,Integrate scheduler with FastAPI,task,"Start APScheduler on FastAPI application startup and stop on shutdown",infra,1,278
286,FastAPI Application,feature,"Create REST API endpoints for pipeline management and monitoring",infra,1,278
287,Create /trigger endpoint,task,"Implement POST endpoint that starts a new pipeline run and returns execution ID",infra,1,286
288,Create /status endpoint,task,"Implement GET endpoint that returns current pipeline status, step progress, and pending interactions",infra,1,286
289,Create /health endpoint,task,"Implement health check endpoint verifying database connectivity and service availability",infra,1,286
290,Integrate Slack Bolt with FastAPI,task,"Run Slack Bolt async app alongside FastAPI, sharing the event loop for interactive message handling",infra,1,286
291,CLI Interface,feature,"Create command-line interface for pipeline management and debugging",infra,1,278
292,Create CLI entry point,task,"Implement __main__.py with CLI framework (Click or Typer) for command routing",infra,1,291
293,Create run command,task,"Implement command to manually trigger a full pipeline run",infra,1,291
294,Create status command,task,"Implement command to check current pipeline execution status",infra,1,291
295,Create collect-articles command,task,"Implement command to manually trigger article collection utility outside scheduled runs",infra,1,291
296,Create serve command,task,"Implement command to start the FastAPI server with Slack Bolt integration",infra,1,291
297,Error Handling & Observability,epic,"Implement comprehensive error handling, logging, and notification patterns across the application",infra,1,
298,Implement LLM error handling pattern,task,"Handle LLM API errors with Slack notification: Execution Stopped at [step] due to error [error]",json-conversion,1,297
299,Implement HTTP fetch error handling,task,"Handle article fetch failures with fallback to manual Slack content entry across all steps",json-conversion,1,297
300,Implement database error handling,task,"Handle database connection failures and upsert conflicts with retry logic",infra,1,297
301,Implement step-level error reporting,task,"Send error notifications to Slack identifying which pipeline step failed and the error details",json-conversion,1,297
302,Implement graceful pipeline termination,task,"On critical errors, terminate pipeline cleanly and notify user, matching n8n's stopAndError behavior",json-conversion,1,297
303,Add structured logging,task,"Implement structured logging across all pipeline steps, service calls, and error conditions",infra,1,297
304,Add pipeline execution state logging,task,"Log pipeline state transitions: step start, step completion, validation attempts, user interactions",infra,1,297
305,Testing & Quality Assurance,epic,"Comprehensive test suite covering unit tests, integration tests, and end-to-end pipeline validation",qa,1,
306,Unit Tests - Utilities,feature,"Test all utility functions ported from n8n JavaScript Code nodes",qa,1,305
307,Test MM/DD/YYYY date formatter,task,"Verify date conversion handles various input formats and UTC edge cases",qa,1,306
308,Test relative date parser,task,"Verify parsing of relative date strings and edge cases with various time units",qa,1,306
309,Test theme body splitter,task,"Verify splitting LLM output by separator produces correct theme blocks",qa,1,306
310,Test %marker parser for all article types,task,"Verify regex extraction of FA, M1, M2, Q1-Q3, I1-I2 markers with various LLM output formats",qa,1,306
311,Test formatted_theme assembler,task,"Verify structured JSON object is correctly assembled from parsed markers",qa,1,306
312,Test markdown section extractor,task,"Verify regex extraction between headings handles all section types and edge cases",qa,1,306
313,Test conditional output router,task,"Verify routing logic for all combinations of user choice, content validity, and feedback status",qa,1,306
314,Test boolean normalizer,task,"Verify conversion of yes, no, Yes, YES, true, false, empty string to correct booleans",qa,1,306
315,Unit Tests - Validators,feature,"Test all content validation logic ported from n8n Code nodes",qa,1,305
316,Test Quick Highlights character counting,task,"Verify bullet extraction, character counting, and delta calculation for 150-190 char range",qa,1,315
317,Test Featured Article character counting,task,"Verify paragraph extraction and counting for P1 (300-400), P2 (300-400), Key Insight (300-370)",qa,1,315
318,Test Main Article character counting,task,"Verify callout (180-250) and content (max 750) extraction and counting for both articles",qa,1,315
319,Test Industry Developments counting,task,"Verify item extraction and counting for 200-280 char range",qa,1,315
320,Test Footer paragraph counting,task,"Verify footer paragraph extraction and counting for 200-550 char range",qa,1,315
321,Test LinkedIn slide validation,task,"Verify body length (265-315), P1 (120-150), P2 (130-150), and TL;DR bullet validation",qa,1,315
322,Test delta calculation accuracy,task,"Verify delta values (current - target) are correctly calculated for both under and over limits",qa,1,315
323,Test validation loop breaker,task,"Verify force-accept behavior after 3 attempts and correct attempt counter tracking",qa,1,315
324,Unit Tests - Database,feature,"Test database CRUD operations against test database",qa,1,305
325,Test curated_articles CRUD,task,"Verify fetch unapproved, upsert with conflict, update approved status, fetch filtered operations",qa,1,324
326,Test feedback table CRUD,task,"Verify insert feedback and fetch last N entries for all 5 feedback tables",qa,1,324
327,Test newsletter_themes CRUD,task,"Verify insert theme, update approval, fetch by newsletter_id operations",qa,1,324
328,Test database migrations,task,"Verify Alembic migrations create all 7 tables with correct schemas and can be rolled back",qa,1,324
329,Integration Tests - Services,feature,"Test external service clients with mock/stub responses",qa,1,305
330,Test SearchApi client,task,"Verify google_news and default engine queries produce correct requests and parse mock responses",qa,1,329
331,Test Slack send_and_wait flow,task,"Verify message posting, callback registration, asyncio.Event blocking, and response extraction with mock Slack API",qa,1,329
332,Test Slack Block Kit builders,task,"Verify all Block Kit message structures match expected Slack API format",qa,1,329
333,Test Google Sheets operations,task,"Verify clear, append, update, and filtered fetch operations with mock Sheets API",qa,1,329
334,Test Google Docs operations,task,"Verify create, insert content, and fetch content operations with mock Docs API",qa,1,329
335,Test LLM service,task,"Verify completion calls, model routing, error handling, and response parsing with mock LiteLLM",qa,1,329
336,Test web fetcher,task,"Verify browser headers, captcha detection, YouTube skip, and HTML-to-markdown conversion with mock HTTP",qa,1,329
337,Test pipeline context propagation,task,"Verify PipelineContext accumulates state correctly through sequential step execution",qa,1,329
338,E2E Tests - Pipeline Steps,feature,"Test complete pipeline step flows with mocked external services",qa,1,305
339,Test article collection end-to-end,task,"Verify SearchApi query through deduplication through date parsing through DB insertion flow",qa,1,338
340,Test article curation end-to-end,task,"Verify Sheet clear through DB fetch through Sheet write through Slack approval through validation flow",qa,1,338
341,Test summarization end-to-end,task,"Verify per-article fetch through LLM call through summary aggregation through Slack sharing through feedback loop",qa,1,338
342,Test theme generation end-to-end,task,"Verify LLM generation through parsing through Slack selection through freshness check through approval flow",qa,1,338
343,Test markdown generation end-to-end,task,"Verify LLM generation through 3-layer validation through retry loop through user review through Google Doc creation",qa,1,338
344,Test HTML generation end-to-end,task,"Verify markdown fetch through conversion through LLM styling through Slack approval through Google Doc creation",qa,1,338
345,Test parallel outputs end-to-end,task,"Verify all 4 generators run concurrently and complete independently with correct outputs",qa,1,338
346,Test full pipeline end-to-end,task,"Run complete pipeline with test fixture data through all steps, verifying data flow and output creation",qa,1,338
347,Test feedback loop persistence,task,"Verify feedback is stored in correct tables and retrieved/aggregated correctly in subsequent pipeline runs",qa,1,338
348,Filter unused articles for alternates,task,"Extract URLs used in main newsletter and filter summaries to find unused articles for the alternate HTML",json-conversion,1,231
349,Call LLM for email review generation,task,"Execute OpenRouter content review extraction to prepare a definitive review using the selected subject and newsletter content",json-conversion,1,237
350,Filter and structure selected social posts,task,"Extract selected DYK and IT posts from Phase 1 raw output and resolve source URLs from formatted_theme for Phase 2",json-conversion,1,248
